file,line,rule,severity,reason,confidence
"/Users/aniajaca/Neperia-Local/next.js/examples/blog-starter/src/app/_components/post-body.tsx",12,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/blog-with-comment/pages/posts/[slug].tsx",43,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/blog/scripts/gen-rss.js",20,"javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-agilitycms/components/post-body.tsx",8,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-builder-io/builder/post/first-one.json",239,"generic.secrets.security.detected-generic-api-key.detected-generic-api-key","HIGH","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-builder-io/builder/post/second.json",1249,"generic.secrets.security.detected-generic-api-key.detected-generic-api-key","HIGH","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-buttercms/components/blog/post-preview.js",53,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-buttercms/components/landing-page-sections/two-column-with-image.js",33,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-buttercms/pages/blog/[slug].js",109,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-buttercms/pages/landing-page/[slug].js",55,"javascript.lang.security.audit.unsafe-formatstring.unsafe-formatstring","LOW","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-cosmic/components/post-body.tsx",13,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-datocms/components/post-body.js",8,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-dotcms/pages/api/preview.tsx",26,"javascript.express.security.injection.raw-html-format.raw-html-format","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-drupal/components/hero-post.js",27,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-drupal/components/hero-post.js",37,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-drupal/components/post-body.js",8,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-drupal/components/post-preview.js",23,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-drupal/components/post-preview.js",31,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-drupal/components/post-title.js",5,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-enterspeed/components/hero-post.tsx",37,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-enterspeed/components/hero-post.tsx",47,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-enterspeed/components/post-body.tsx",12,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-enterspeed/components/post-preview.tsx",41,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-enterspeed/components/post-title.tsx",9,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-ghost/components/post-body.js",8,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-graphcms/components/post-body.js",7,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-kontent-ai/components/post-body.tsx",12,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-prepr/components/hero-post.js",35,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-prepr/components/post-preview.js",31,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-sitecore-xmcloud/scripts/generate-plugins.ts",121,"javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-sitecore-xmcloud/scripts/scaffold-component.ts",65,"javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-sitecore-xmcloud/scripts/scaffold-component.ts",66,"javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-sitecore-xmcloud/scripts/scaffold-component.ts",66,"javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-sitecore-xmcloud/src/pages/api/sitemap.ts",75,"javascript.express.security.injection.raw-html-format.raw-html-format","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-sitefinity/components/post-body.tsx",12,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-storyblok/components/post-body.js",8,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-takeshape/components/post-body.js",8,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-tina/components/post-body.js",8,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-umbraco-heartcore/README.md",8,"generic.secrets.security.detected-generic-secret.detected-generic-secret","HIGH","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-umbraco-heartcore/components/post-body.js",7,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-umbraco/components/hero-post.tsx",38,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-umbraco/components/hero-post.tsx",48,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-umbraco/components/post-body.tsx",12,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-umbraco/components/post-preview.tsx",42,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-umbraco/components/post-title.tsx",9,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-webiny/lib/rich-text-renderer.tsx",17,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-webiny/lib/rich-text-renderer.tsx",45,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-webiny/lib/rich-text-renderer.tsx",57,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-webiny/lib/rich-text-renderer.tsx",69,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
"/Users/aniajaca/Neperia-Local/next.js/examples/cms-webiny/lib/rich-text-renderer.tsx",81,"typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml","MEDIUM","downgrade: two-context-signals","N/A"
